feature,importance
ORGANIZATION_TYPE_Trade__type_2,1258.0530967712402
FLAG_DOCUMENT_13,1238.3796977996826
NAME_TYPE_SUITE_Unaccompanied,1212.5376014709473
BUREAU_AMT_CREDIT_SUM_LIMIT_MIN,1164.1195030212402
ORGANIZATION_TYPE_Security_Ministries,1123.0974006652832
WEEKDAY_APPR_PROCESS_START_TUESDAY,1121.7088108062744
NAME_INCOME_TYPE_Commercial_associate,1112.2948036193848
ORGANIZATION_TYPE_Realtor,1111.749400138855
NAME_HOUSING_TYPE_Office_apartment,1055.0791110992432
WALLSMATERIAL_MODE_Stone__brick,1037.930004119873
NAME_HOUSING_TYPE_Rented_apartment,1024.439296722412
LIVE_CITY_NOT_WORK_CITY,958.41770362854
WEEKDAY_APPR_PROCESS_START_THURSDAY,924.20530128479
BUREAU_BB_STATUS_2_SUM_MEAN,886.2320022583008
NAME_CONTRACT_TYPE_Revolving_loans,867.8947944641113
ORGANIZATION_TYPE_Bank,859.2378997802734
NAME_TYPE_SUITE_Family,771.0266952514648
FLAG_OWN_CAR_N,702.861701965332
NAME_TYPE_SUITE_Spouse__partner,679.3654022216797
FONDKAPREMONT_MODE_reg_oper_account,666.7905979156494
AMT_REQ_CREDIT_BUREAU_DAY,628.7347984313965
FLAG_EMAIL,551.170597076416
NAME_FAMILY_STATUS_Separated,532.5612945556641
BUREAU_AMT_CREDIT_SUM_OVERDUE_MEAN,529.8148002624512
NAME_EDUCATION_TYPE_Incomplete_higher,491.34420013427734
ORGANIZATION_TYPE_Other,470.48759841918945
FLAG_DOCUMENT_8,469.83939933776855
OCCUPATION_TYPE_Managers,448.7337017059326
FLAG_DOCUMENT_6,446.95069885253906
NAME_EDUCATION_TYPE_Lower_secondary,444.0511989593506
BUREAU_BB_STATUS_4_SUM_MEAN,438.2628002166748
WEEKDAY_APPR_PROCESS_START_SUNDAY,420.6764030456543
OCCUPATION_TYPE_Medicine_staff,417.38099670410156
LIVE_REGION_NOT_WORK_REGION,409.77950286865234
REG_REGION_NOT_WORK_REGION,373.6153984069824
BUREAU_BB_MONTHS_BALANCE_MAX_MAX,368.4937000274658
ORGANIZATION_TYPE_Legal_Services,361.8561010360718
